위치,일시,현재발전출력,수평일사량1,수평일사량2,경사일사량1,경사일사량2,외기온도1,외기온도2,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C)
C,2016-01-01,466.91607284243867,399.93180046765394,111.61068632720527,480.54140276800376,191.60390795603874,5.64595628066874,-2.3721705840624634,6.5,1023.2,53.0,8.6
C,2016-01-02,462.0480844409695,413.1245923026745,184.87331557891184,494.13714353330965,398.50817693520537,6.204297865102878,-2.1713231501127543,9.2,1023.3,61.0,11.4
C,2016-01-03,481.7140366172624,450.5473330750355,1.7942307812090104,537.8340343708688,0.9333333671092987,4.091682329376515,-3.270689655407309,4.6,1018.7,61.0,13.5
C,2016-01-04,445.58953168044076,408.5950231763845,130.4973121321077,490.90351668169524,164.78904993400255,7.170962163351677,-0.7789704207411466,6.6,1020.1,47.0,12.6
C,2016-01-05,300.2119760479042,309.51046368485845,176.78970186350415,356.5871643745907,348.9658281439974,6.734510058215925,-3.1916050648909575,6.1,1023.6,41.0,9.1
C,2016-01-06,465.21793193717275,387.9431435309973,196.7865189429442,475.50891920251837,371.2205961435145,1.19823636860338,-4.257736518537849,8.5,1021.5,48.0,8.3
C,2016-01-07,513.2660929432013,448.343741020975,187.57763574716995,543.020586343167,206.81709531098642,-3.486803589065096,-10.108198598412107,7.0,1021.0,50.0,5.8
C,2016-01-08,515.272,442.95354142901584,169.02504776606736,539.7836879432624,235.39390252832067,-3.997099610515484,-11.483837916028504,9.0,1020.4,52.0,4.5
C,2016-01-09,495.8436272759729,420.81501312335956,192.79524748227973,515.1938126445643,240.7617443203166,-1.7738153479570675,-10.328370865070267,5.4,1023.4,50.0,5.8
C,2016-01-10,490.3118849356548,421.23099178335843,189.1999969482422,517.488673480139,221.60000610351562,1.5478954354815242,-8.699999809265137,5.3,1024.7,49.0,6.4
C,2016-01-11,241.95727986050568,256.2653465346535,54.932981190973855,294.17541951522685,91.75083023280975,3.4689941421202093,-3.6500983090087553,6.8,1022.8,44.0,6.7
C,2016-01-12,458.31736745886656,414.01532945976015,93.71992371143956,491.1097737657417,152.9252302451937,7.184526768270884,-2.752799392841721,5.4,1019.9,46.0,6.0
C,2016-01-13,451.3671556642217,433.82688210227275,141.56445647506044,506.0657772261868,319.44558215797355,12.771265530084372,3.0101135459061834,6.8,1018.1,53.0,3.8
C,2016-01-14,476.7424435930183,448.8349455864571,200.13766156431547,535.2716717245019,311.4102129225923,13.728977896848335,1.7300729894571727,5.0,1020.7,51.0,4.4
C,2016-01-15,370.3079331941545,341.0297752808989,77.72013454478044,395.4745548414287,125.07752805448762,16.54636760721513,5.577158723170638,3.2,1021.4,45.0,6.3
C,2016-01-16,465.4845399698341,439.0986874690441,223.39897869325827,517.6784150858682,311.18335230419365,9.375180729502766,-2.851053984383969,2.9,1022.2,56.0,8.2
C,2016-01-17,523.0434445306439,453.32585691281344,186.32975912580648,547.6015756302521,329.17920158816895,2.6054826863149154,-2.75622723771077,6.7,1015.8,71.0,9.2
C,2016-01-18,387.419595314164,365.7335972850679,132.10145063542973,421.91046042860177,199.7505156442018,6.371142112595575,-0.7495175383271947,11.3,1008.3,60.0,5.4
C,2016-01-19,497.40190411424686,434.23916473317865,251.5599185974012,523.6950398040416,454.1999649824783,4.4034223159370995,-5.007878849954052,13.0,1015.5,54.0,-0.8
C,2016-01-20,470.914128440367,416.94293721973094,137.57521485391936,497.63517441860466,257.8422842803587,8.48983161748531,-6.089875182156325,5.0,1025.4,62.0,1.1
C,2016-01-21,415.62951919493105,380.7721165358521,334.3999938964844,448.9256148770246,576.7999877929688,12.233464407210318,-0.375,4.7,1023.8,49.0,3.9
C,2016-01-22,76.725,81.06821345707657,334.3999938964844,82.49280074314909,576.7999877929688,14.628771862977887,-0.375,8.0,1025.9,53.0,4.2
C,2016-01-23,86.14326321773736,126.24059018367961,334.3999938964844,133.6195457262403,576.7999877929688,13.513490251721722,-0.375,10.7,1018.6,53.0,-0.1
C,2016-01-24,196.2010633156114,247.27992440151198,334.3999938964844,276.014684886804,576.7999877929688,13.553499487163508,-0.375,10.9,1020.7,61.0,-4.7
C,2016-01-25,265.216149506347,290.85799492385786,334.3999938964844,311.62230259192285,576.7999877929688,14.377882451925288,-0.375,8.0,1025.5,56.0,-0.3
C,2016-01-26,149.92372015532231,260.4889622851667,202.46373797790346,214.36249792137286,317.3011548102444,0.4618104923873343,4.745011333351137,7.0,1019.1,54.0,3.7
